episode,reward,success,survivalSteps,endReason
1,302.438,0,237,death
2,1127.925,1,395,goal
3,1132.138,1,407,goal
4,308.888,0,279,death
5,1131.725,1,537,goal
6,1116.613,1,399,goal
7,444.825,0,279,death
8,1129.950,1,417,goal
9,585.350,0,359,death
10,1131.250,1,407,goal
11,229.638,0,169,death
12,1136.375,1,409,goal
13,259.438,0,198,death
14,1128.625,1,393,goal
15,223.825,0,160,death
16,1121.225,1,398,goal
17,1118.263,1,403,goal
18,435.850,0,270,death
19,1143.488,1,404,goal
20,189.725,0,170,death
21,1135.138,1,438,goal
22,333.888,0,236,death
23,1123.925,1,381,goal
24,160.800,0,205,death
25,1123.438,1,397,goal
26,1125.163,1,367,goal
27,1137.563,1,457,goal
28,1136.750,1,509,goal
29,1127.050,1,466,goal
30,1120.538,1,459,goal
31,418.438,0,256,death
32,1124.050,1,466,goal
33,1120.963,1,366,goal
34,340.675,0,252,death
35,1122.763,1,390,goal
36,1110.050,1,388,goal
37,667.825,0,461,death
38,504.900,0,330,death
39,1125.125,1,392,goal
40,1113.475,1,443,goal
41,1130.338,1,383,goal
42,266.300,0,188,death
43,1130.475,1,393,goal
44,475.513,0,287,death
45,1117.075,1,384,goal
46,65.362,0,109,death
47,317.625,0,213,death
48,1147.438,1,442,goal
49,1116.925,1,512,goal
50,1133.025,1,465,goal
51,531.425,0,393,death
52,595.338,0,450,death
53,455.063,0,321,death
54,1131.175,1,444,goal
55,280.488,0,195,death
56,1128.725,1,536,goal
57,467.425,0,356,death
58,160.662,0,150,death
59,376.150,0,261,death
60,1143.238,1,399,goal
61,1114.613,1,481,goal
62,574.725,0,372,death
63,1169.600,1,526,goal
64,1153.463,1,409,goal
65,256.975,0,229,death
66,1129.813,1,459,goal
67,-37.412,0,274,loop
68,1119.850,1,457,goal
69,1156.988,1,484,goal
70,250.025,0,186,death
71,248.925,0,197,death
72,1162.513,1,441,goal
73,413.263,0,268,death
74,599.550,0,363,death
75,1139.375,1,412,goal
76,1138.238,1,416,goal
77,469.200,0,277,death
78,1127.763,1,455,goal
79,1154.438,1,492,goal
80,237.675,0,214,death
81,1145.538,1,421,goal
82,1113.713,1,402,goal
83,320.225,0,273,death
84,1146.250,1,385,goal
85,334.363,0,216,death
86,1155.200,1,373,goal
87,1154.300,1,411,goal
88,427.113,0,325,death
89,372.863,0,238,death
90,1156.000,1,388,goal
91,1152.063,1,445,goal
92,505.650,0,295,death
93,358.788,0,231,death
94,1146.988,1,369,goal
95,172.888,0,158,death
96,627.525,0,399,death
97,417.463,0,242,death
98,1156.000,1,387,goal
99,76.975,0,112,death
100,1151.850,1,362,goal
101,1153.763,1,415,goal
102,228.213,0,192,death
103,1142.850,1,357,goal
104,462.863,0,278,death
105,117.300,0,155,death
106,263.563,0,222,death
107,239.263,0,187,death
108,1078.038,1,493,goal
109,298.213,0,205,death
110,261.750,0,179,death
111,223.113,0,185,death
112,455.063,0,344,death
113,248.788,0,178,death
114,145.075,0,140,death
115,256.450,0,188,death
116,232.150,0,222,death
117,152.537,0,150,death
118,272.750,0,235,death
119,1089.600,1,418,goal
120,297.425,0,204,death
121,309.625,0,233,death
122,1094.350,1,379,goal
123,246.975,0,189,death
124,-19.825,0,62,death
125,283.863,0,195,death
126,239.575,0,185,death
127,279.100,0,192,death
128,182.538,0,218,death
129,234.813,0,215,death
130,205.675,0,289,death
131,1066.863,1,380,goal
132,231.588,0,191,death
133,1092.663,1,373,goal
134,256.000,0,181,death
135,1022.488,1,506,goal
136,243.425,0,187,death
137,254.575,0,164,death
138,129.437,0,178,death
139,358.575,0,237,death
140,263.725,0,177,death
141,169.675,0,327,loop
142,156.862,0,144,death
143,231.313,0,156,death
144,267.413,0,186,death
145,185.913,0,157,death
146,223.938,0,175,death
147,130.662,0,138,death
148,1048.963,1,367,goal
149,275.163,0,226,death
150,219.587,0,345,death
151,254.638,0,208,death
152,1067.163,1,348,goal
153,388.363,0,206,death
154,219.163,0,180,death
155,1034.500,1,432,goal
156,397.063,0,284,death
157,126.875,0,171,death
158,327.988,0,192,death
159,276.825,0,186,death
160,204.475,0,149,death
161,106.762,0,131,death
162,357.338,0,229,death
163,47.625,0,97,death
164,473.300,0,273,death
165,1025.613,1,385,goal
166,470.275,0,365,death
167,94.450,0,99,death
168,178.400,0,151,death
169,247.862,0,217,death
170,99.025,0,104,death
171,81.762,0,95,death
172,1121.775,1,368,goal
173,308.463,0,177,death
174,208.013,0,175,death
175,324.688,0,195,death
176,227.063,0,165,death
177,243.500,0,207,death
178,200.538,0,164,death
179,1041.975,1,376,goal
180,1059.050,1,361,goal
181,153.825,0,146,death
182,295.400,0,239,death
183,277.763,0,208,death
184,236.475,0,173,death
185,1058.238,1,355,goal
186,253.038,0,166,death
187,330.913,0,187,death
188,295.425,0,174,death
189,250.175,0,185,death
190,212.975,0,144,death
191,291.425,0,191,death
192,240.788,0,200,death
193,231.838,0,169,death
194,1029.763,1,399,goal
195,172.513,0,127,death
196,250.638,0,182,death
197,296.450,0,200,death
198,208.563,0,171,death
199,309.338,0,177,death
200,301.488,0,168,death
201,368.438,0,229,death
202,260.825,0,157,death
203,309.725,0,175,death
204,297.713,0,184,death
205,980.200,1,375,goal
206,252.875,0,187,death
207,242.438,0,170,death
208,250.000,0,187,death
209,244.375,0,167,death
210,299.638,0,723,stagnation
211,200.237,0,168,death
212,308.750,0,187,death
213,215.175,0,210,death
214,311.250,0,185,death
215,295.938,0,180,death
216,619.013,0,377,death
217,253.138,0,162,death
218,283.950,0,167,death
219,165.900,0,141,death
220,944.850,1,337,goal
221,219.388,0,169,death
222,216.675,0,154,death
223,-320.263,0,369,stagnation
224,1011.713,1,347,goal
225,287.675,0,169,death
226,231.163,0,172,death
227,362.363,0,257,death
228,22.687,0,83,death
229,251.125,0,187,death
230,91.562,0,100,death
231,288.075,0,187,death
232,321.675,0,223,death
233,214.613,0,165,death
234,304.238,0,225,death
235,211.938,0,127,death
236,149.125,0,121,death
237,-206.188,0,309,ineffective_action
238,180.600,0,134,death
239,-4.975,0,47,death
240,128.725,0,118,death
241,290.200,0,213,death
242,161.100,0,161,death
243,636.900,0,404,death
244,245.500,0,204,death
245,136.100,0,144,death
246,217.900,0,174,death
247,406.900,0,262,death
248,19.700,0,73,death
249,45.000,0,83,death
250,45.000,0,92,death
251,284.300,0,288,death
252,117.100,0,121,death
253,105.600,0,111,death
254,-41.300,0,46,death
255,215.400,0,170,death
256,154.500,0,177,death
257,969.000,1,341,goal
258,-32.300,0,45,death
259,172.700,0,138,death
260,139.000,0,196,death
261,262.100,0,202,death
262,184.000,0,173,death
263,43.300,0,96,death
264,59.600,0,92,death
265,129.400,0,162,death
266,-48.300,0,44,death
267,278.200,0,293,death
268,37.400,0,104,death
269,234.100,0,177,death
270,183.300,0,220,death
271,7.700,0,90,death
272,96.200,0,116,death
273,197.200,0,150,death
274,319.400,0,657,stagnation
275,134.300,0,124,death
276,335.100,0,249,death
277,183.800,0,172,death
278,-41.000,0,49,death
279,118.400,0,114,death
280,377.100,0,256,death
281,223.000,0,191,death
282,217.600,0,162,death
283,41.500,0,79,death
284,-46.200,0,52,death
285,1014.200,1,338,goal
286,395.900,0,359,death
287,10.800,0,102,death
288,177.100,0,238,death
289,538.300,0,421,death
290,220.000,0,222,death
291,183.400,0,174,death
292,130.300,0,138,death
293,12.500,0,433,death
294,247.600,0,200,death
295,506.500,0,304,death
296,235.500,0,214,death
297,390.100,0,249,death
298,104.500,0,133,death
299,90.700,0,126,death
300,198.500,0,165,death